html_url,number,title,labels,state,locked,milestone,comments,created_at,updated_at,closed_at,author_association,state_reason,assignee.login,body,Target
https://github.com/facebook/react/issues/11947,11947,react-native-custom-tabs not return response,[],closed,FALSE,,1,2018-01-02T12:03:56Z,2018-01-02T13:06:24Z,2018-01-02T13:06:24Z,NONE,completed,,"I have created button to open CustonTabs to use external url into React-native app. external url have some forms that are submitted and return array as a response into another page i.e success page. I want to get response from success page into app and CustomTabs would be close automatically. code for custom tab:-

```
url = 'https://www.example.com/newtest.php';
CustomTabs.openURL(url,{ toolbarColor: '#607D8B',enableUrlBarHiding: true,showPageTitle: true,enableDefaultShare: true,animations: ANIMATIONS_SLIDE}).then((launched: boolean) => {                                             
console.log(`Launched custom tabs: ${launched}`);
}).catch(err => {
console.error(err)
}); 
```",Feature
https://github.com/facebook/react/issues/11955,11955,`react-call-return`: Expected to find a host parent.,"[{""id"":40929151,""node_id"":""MDU6TGFiZWw0MDkyOTE1MQ=="",""url"":""https://api.github.com/repos/facebook/react/labels/Type:%20Bug"",""name"":""Type: Bug"",""color"":""b60205"",""default"":false,""description"":null},{""id"":725156255,""node_id"":""MDU6TGFiZWw3MjUxNTYyNTU="",""url"":""https://api.github.com/repos/facebook/react/labels/good%20first%20issue%20(taken)"",""name"":""good first issue (taken)"",""color"":""b60205"",""default"":false,""description"":null},{""id"":739761016,""node_id"":""MDU6TGFiZWw3Mzk3NjEwMTY="",""url"":""https://api.github.com/repos/facebook/react/labels/Component:%20Reconciler"",""name"":""Component: Reconciler"",""color"":""f9a798"",""default"":false,""description"":null},{""id"":760751171,""node_id"":""MDU6TGFiZWw3NjA3NTExNzE="",""url"":""https://api.github.com/repos/facebook/react/labels/Difficulty:%20challenging"",""name"":""Difficulty: challenging"",""color"":""f2687c"",""default"":false,""description"":null}]",closed,FALSE,,7,2018-01-03T15:16:26Z,2018-01-07T20:15:43Z,2018-01-07T20:15:43Z,CONTRIBUTOR,completed,,"<!--
  Note: if the issue is about documentation or the website, please file it at:
  https://github.com/reactjs/reactjs.org/issues/new
-->

**Do you want to request a *feature* or report a *bug*?**
Bug

**What is the current behavior?**
A specific order of unmounting and remounting `unstable_createReturn`s from `react-call-return` causes an invariant violation in `unmountHostComponents`.

**Reproduce**
The following sandbox example crashes with an invariant violation when both the `min` and `cycle` props are *odd* numbers greater than zero.

https://codesandbox.io/s/llyjz19rz7

**What is the expected behavior?**
The app does not crash and cycles the number of items in the list.

**Which versions of React, and which browser / OS are affected by this issue? Did this work in previous versions of React?**
`react` and `react-dom` versions 16.1 and newer, `react-call-return` version 0.5.0
",Bug
https://github.com/facebook/react/issues/11994,11994,i need to learn this ,[],closed,FALSE,,1,2018-01-08T20:11:17Z,2018-01-08T20:13:55Z,2018-01-08T20:13:55Z,NONE,completed,,what do i need to learn to get started with react js ,Support
https://github.com/facebook/react/issues/12002,12002,Add React.Children.isRenderable,[],closed,FALSE,,2,2018-01-10T16:05:12Z,2018-01-10T19:06:00Z,2018-01-10T16:56:04Z,NONE,completed,,"**Do you want to request a *feature* or report a *bug*?**
A feature

**Motivation:**
Given a component which gets props from `context` (e.g. it accepts props from Redux store via `connect` HoC) and renders either `null` or some React node by condition based on data from context it would be helpful to know outside the component whether it renders any markup or not. It would let us render wrappers for the component only if it is visible.

**Usage example:**
Let's say, we have a `FancyContainer` which wraps every child in a `FancyWrapper` (which can add margins, borders, animation etc).
```
<FancyContainer>
  <ConnectedComponent/>
  <ConnectedComponentConditionallyReturningNull/>
  <ConnectedComponent/>
</FancyContainer>
```
The `ConnectedComponent` doesn't accept props. It gets everything from `context`!
```
const FancyComponent = ({isNull}) => isNull ? null : <h1>Hello</h1>
const ConnectedComponent = connect((store) => ({isNull: !store.data}))(FancyComponent)
```
Without checking if a `ConnectedComponentConditionallyReturningNull` renders any markup we get an empty visible wrapper between first and third children and thus break styling.

React.Children.isRenderable would allow us to easily filter children without UI.
```
const FancyContainer = ({children}) =>
  React.Children.map(children, (child => 
    React.Children.isRenderable(child)
      ? <FancyWrapper>{child}</FancyWrapper>
      : child
  ))
```

**Why not just do X?**
We could achieve such behavior by passing a handler for the condition switch of the connected component, but this approach would break its encapsulation and it is not suitable for those library components which toggle their ""renderability"" internally.

We theoretically could use `:has` CSS pseudo selector (though it is not supported yet by any browser) and setting `ConnectedComponent`'s `display` property to `none` which would result in `FancyContainer` rendering invisible nodes. But if `FancyContainer` is itself wrapped in a `FancyWrapper` we then wouldn't be able to hide its styling.

We could try to manually find `<ConnectedComponent/>`'s node in DOM and if it doesn't exist remove `FancyWrapper` but that sound too messy and violates React's declarative nature. Also if data in `context` is dynamic (it usually is) we would then hide components while their data is still on the way from the server and might never reveal them when it is loaded to our `context` (maybe we could but with more mess).
",Feature
https://github.com/facebook/react/issues/12012,12012,React.Children.toArray and React.cloneElement do not work with portal elements,"[{""id"":121709921,""node_id"":""MDU6TGFiZWwxMjE3MDk5MjE="",""url"":""https://api.github.com/repos/facebook/react/labels/Type:%20Feature%20Request"",""name"":""Type: Feature Request"",""color"":""c7def8"",""default"":false,""description"":null},{""id"":139653724,""node_id"":""MDU6TGFiZWwxMzk2NTM3MjQ="",""url"":""https://api.github.com/repos/facebook/react/labels/Component:%20Core%20Utilities"",""name"":""Component: Core Utilities"",""color"":""c5def5"",""default"":false,""description"":null},{""id"":1775957182,""node_id"":""MDU6TGFiZWwxNzc1OTU3MTgy"",""url"":""https://api.github.com/repos/facebook/react/labels/Resolution:%20Stale"",""name"":""Resolution: Stale"",""color"":""e6e6e6"",""default"":false,""description"":""Automatically closed due to inactivity""}]",closed,FALSE,,3,2018-01-12T10:23:26Z,2020-01-19T01:48:55Z,2020-01-19T01:48:55Z,NONE,completed,,"<!--
  Note: if the issue is about documentation or the website, please file it at:
  https://github.com/reactjs/reactjs.org/issues/new
-->

**Do you want to request a *feature* or report a *bug*?**

BUG or undefined behaviour

**What is the current behavior?**

Doing
```
React.Children.toArray(
  ReactDOM.createPortal(...)
)
```

fails with:
```
Objects are not valid as a React child (found: object with keys {$$typeof, key, children, containerInfo, implementation}). If you meant to render a collection of children, use an array instead.
```

Namely, the following complete snippet fails:

```jsx
import React from 'react';
import { render, createPortal } from 'react-dom';

const RenderChildren = ({ children }) => {
  children = React.Children.toArray(children)
  return <h1>Renders children with toArray: {children}</h1>
}


const App = () => ( 
  <RenderChildren name=""CodeSandbox"">
    {createPortal(<div>rendered in portal</div>, document.getElementById('portal'))}
  </RenderChildren>
);

render(<App />, document.getElementById('root'));
```

while the following one, which wraps the portal in another element works just fine

```jsx
import React from 'react';
import { render, createPortal } from 'react-dom';

const RenderChildren = ({ children }) => {
  children = React.Children.toArray(children)
  return <h1>Renders children with toArray: {children}</h1>
}


const App = () => ( 
  <RenderChildren name=""CodeSandbox"">
    <div>
        {createPortal(<div>rendered in portal</div>, document.getElementById('portal'))}
    </div>
  </RenderChildren>
);

render(<App />, document.getElementById('root'));

```
**What is the expected behavior?**
I am aware that `createPortal` is a new feature, but in the best case scenario it should be possible to use it everywhere other valid nodes are accepted.

The same thing is happening for `React.cloneElement(ReactDOM.createPortal(....))` - it's probably weird to try and clone a portal 😄  - but maybe we should specify in the `createPortal` documentation that it cannot be cloned, at least for now. Should I open a PR for that?

Let me know your thoughts

**Which versions of React, and which browser / OS are affected by this issue? Did this work in previous versions of React?**

I'm using React 16.*",Feature
https://github.com/facebook/react/issues/12021,12021,Add referrerPolicy to iframe for react 16,[],closed,FALSE,,1,2018-01-15T12:48:08Z,2018-01-15T12:50:35Z,2018-01-15T12:50:35Z,NONE,completed,,"Property 'referrerPolicy' does not exist on type 'DetailedHTMLProps<IframeHTMLAttributes<HTMLIFrameElement>, HTMLIFrameElement>'.

see https://developer.mozilla.org/en-US/docs/Web/API/HTMLIFrameElement/referrerPolicy

react@16.2.0
react-dom@16.2.0",Other
https://github.com/facebook/react/issues/12033,12033,Refs Must Have Owner Warning,[],closed,FALSE,,13,2018-01-17T09:11:10Z,2018-02-06T15:19:06Z,2018-01-28T13:14:22Z,NONE,completed,,"** Reporting a bug

The problem I'm having is in the interplay of several packages but I feel that the only package actually doing something wrong here is react.

Versions:
- react 16.2.0 (also happened with 15.something)
- node.js 7.9 (electron 1.7.10)
- windows 10

** Current behavior

I get the error message from here https://reactjs.org/warnings/refs-must-have-owner.html although none of the three explanations is true.
Actually react _is_ loaded twice but it's the same version and there is little I can do to prevent it.

What happens, as far as I can understand is this:
my application imports react from in two ways
  * application -> react
  * application -> node_modules/myapi -> react
both get the same react module from the same path.
However, the myapi module is installed via yarn link.
Now on case-insensitive filesystems, yarn link can cause the file path to have different caseing, i.e. my application is in C:/application but the resolved link (which node uses via require) is c:/application/... so the case of the drive letter changes for the api and everything _require_d from the api.

So even though I call ""require('react')"" both times I end up importing
C:/application/node_modules/react/...
and
c:/application/node_modules/react/...

which is obviously the same thing, yet it means react is loaded twice.

Now the ref that's triggering the error is also not added by me but by react-bootstrap which adds a string-ref.

So my code has no bug (I'm not using different react versions or different case when importing react _in my code_)
react-bootstrap doesn't do anything wrong (because string refs are still allowed).
node isn't doing anything wrong (since it documents that require isn't guaranteed to always return the instance.)
yarn isn't doing anything wrong (because on a case-insensitive filesystem there is nothing wrong with using different cases for the drive letter between link source and link target.)

react however relies on require always returning the same instance, which it can't.

**What is the expected behavior?**

React doesn't rely on behavior that is documented to be unreliable.",Other
https://github.com/facebook/react/issues/12035,12035,Bug? createPortal element's children don't print correct clientHeight properties etc,"[{""id"":710722093,""node_id"":""MDU6TGFiZWw3MTA3MjIwOTM="",""url"":""https://api.github.com/repos/facebook/react/labels/Type:%20Needs%20Investigation"",""name"":""Type: Needs Investigation"",""color"":""65AA9C"",""default"":false,""description"":""""}]",closed,FALSE,,1,2018-01-17T22:06:21Z,2018-01-18T20:15:25Z,2018-01-18T20:15:25Z,NONE,completed,,"<!--
  Note: if the issue is about documentation or the website, please file it at:
  https://github.com/reactjs/reactjs.org/issues/new
-->

**Do you want to request a *feature* or report a *bug*?**
could be a bug!

**What is the current behavior?**
The children div inside an element that is created by using createPortal does not show correct clientHeight or scrollHeight properties. It shows 0 for scrollHeight as is console-logged in the demo below.

**If the current behavior is a bug, please provide the steps to reproduce and if possible a minimal demo of the problem. Your bug will get fixed much faster if we can run your code and it doesn't have dependencies other than React. Paste the link to your JSFiddle (https://jsfiddle.net/Luktwrdm/) or CodeSandbox (https://codesandbox.io/s/new) example below:**

https://jsfiddle.net/m43c7fce/1/

**What is the expected behavior?**
It should get correct scrollHeight etc properties. 

**Which versions of React, and which browser / OS are affected by this issue? Did this work in previous versions of React?**
",Other
https://github.com/facebook/react/issues/12041,12041,"Suppress message: ""Download the React DevTools for ...""","[{""id"":620368407,""node_id"":""MDU6TGFiZWw2MjAzNjg0MDc="",""url"":""https://api.github.com/repos/facebook/react/labels/Resolution:%20Needs%20More%20Information"",""name"":""Resolution: Needs More Information"",""color"":""fffde7"",""default"":false,""description"":null}]",closed,FALSE,,6,2018-01-18T15:08:02Z,2018-12-14T20:18:18Z,2018-01-19T10:02:00Z,NONE,completed,,"**feature/bug**

**What is the current behavior?**
React library logs either ""*Download the React DevTools for a better development experience: https://fb.me/react-devtools*"" or logs ""*Warning: The installed version of React DevTools is too old and will not work with the current version of React. Please update React DevTools. https://fb.me/react-devtools*"" if previous ""fix"" is employed.

**reproduce**
Run React site without production flag and without React DevTools extension installed.

**What is the expected behavior?**
No log output.

**Which versions of React**

React: 16.2.0

**Tried**
According to comment on #3877 the following should work in React >= 16.1.0.
```
      new webpack.DefinePlugin({
        '__REACT_DEVTOOLS_GLOBAL_HOOK__': '({ isDisabled: true })'
      }),
```
However this changes the log to:
""Warning: The installed version of React DevTools is too old and will not work with the current version of React. Please update React DevTools. https://fb.me/react-devtools""

Other fixes such as those from StackOverflow yield the same results: https://stackoverflow.com/a/42196820.

Also the plugin itself doesn't work for me because of https://github.com/facebook/react-devtools/issues/897. So installing it isn't an option, for me at least.

**TLDR**

I'm loving React. But logging the install note is a tad annoying. Previous fixes don't seem to work. So please provide an option to disable the log.
",Support
https://github.com/facebook/react/issues/12044,12044,Coalesce warnings for deprecated lifecycle hooks,[],closed,FALSE,,0,2018-01-18T20:44:46Z,2018-01-25T05:43:07Z,2018-01-25T05:43:07Z,COLLABORATOR,completed,bvaughn,"Coalesce warnings for deprecated lifecycle hooks and print single message after reconciliation (rather than one per component-type).

Relates to PR #12028 and [this comment](https://github.com/facebook/react/pull/12028#discussion_r162420575).",Bug
